group,date,lat,lon,loc,memo,monitor,r,lon_d,lat_d,lon_d2,lat_d2,country
all,8/1/11,33.907299,-118.1724,"Los Angeles, CA",Start,monitor 1-7,8,-1,-5,-1,-6,us
3,8/16/11,34.0052,-118.149,,Recycling,monitor 1,4,0,0,0,0,us
8,8/19/11,37.9379,-121.221,"Stockton, CA",Recycling,monitor 2,4,2,0,3,1,us
11,9/28/11,34.0083,-117.686,"Chino, CA",Recycling,monitor 5,4,2,0,3,0,us
5,10/2/11,5.3002,100.472,"Pinang, Malaysia",Destination,monitor 5,4,-23,0,-24,0,malaysia
3,10/15/11,39.1067044,117.7172623,,Transit,monitor 6,4,1,0,1,0,china
9,10/31/11,39.0482,117.599,"Tianjin, China",Transit,monitor 3,4,-20,0,-21,0,china
3,11/3/11,23.1698,113.026,"Guandong, China",Destination,monitor 6,4,2,0,4,0,china
9,11/4/11,34.4438,115.414,"Henan, China",Destination,monitor 3,4,-20,0,-21,0,china
7,11/18/11,23.3871,111.12,"Guangxi Zhung, China",Destination,monitor 7,4,0,-4,4,-5,china
10,11/21/11,22.9724,113.252,"Foshan, China",Destination,monitor 4,4,-23,0,-25,0,china
